ID,Issue_Key,Resolution,Timespent,In_Progress_Minutes,Total_Effort_Minutes,Resolution_Time_Minutes,Story_Point
125774,BAM-14662,Fixed,11,0,0,18237,NULL
128248,BAM-11819,Fixed,1,159,8815,103577,NULL
129282,BAM-10168,Fixed,33,2957,14086,47624,NULL
129668,BAM-9478,Fixed,8,0,18749,22902,NULL
129735,BAM-9344,Fixed,70,2040,79512,677513,NULL
131311,BAM-5920,Fixed,180,137,2780,2791,NULL
131356,BAM-5820,Fixed,41,42,6776,6777,NULL
131374,BAM-5783,Fixed,327,618,6901,8353,NULL
131395,BAM-5713,Fixed,165,1113,8323,14597,1
131404,BAM-5700,Fixed,193,196,17588,18206,NULL
131411,BAM-5683,Fixed,180,7433,30273,695756,NULL
131424,BAM-5647,Fixed,30,0,0,5,NULL
131425,BAM-5645,Fixed,960,2,12908,31801,13
131435,BAM-5631,Fixed,167,1108,31696,35655,NULL
131436,BAM-5630,Fixed,60,34,28418,28735,NULL
131459,BAM-5574,Fixed,5,0,13994,14003,NULL
131495,BAM-5456,Fixed,54,25,30437,78480,3
131501,BAM-5442,Fixed,800,1784,33247,35090,3
131504,BAM-5431,Fixed,157,177,4072,6043,2
131509,BAM-5416,Fixed,210,39,4359,12346,NULL
131510,BAM-5414,Fixed,19,21,4678,13597,NULL
131523,BAM-5396,Fixed,240,0,3780,8543,NULL
131528,BAM-5385,Fixed,772,1729,13074,32444,NULL
131530,BAM-5383,Fixed,193,165,4327,23376,NULL
131538,BAM-5358,Fixed,480,8988,11049,17864,2
131541,BAM-5354,Fixed,420,0,7267,18083,NULL
131545,BAM-5348,Fixed,180,180999,192250,323868,NULL
131551,BAM-5340,Fixed,60,2878,2878,2882,NULL
131578,BAM-5307,Fixed,360,1,12181,13626,NULL
131589,BAM-5287,Fixed,270,174,3853,20375,1
131592,BAM-5281,Fixed,480,8469,28456,45750,5
131596,BAM-5276,Fixed,630,1725,26008,28081,NULL
131597,BAM-5273,Fixed,420,1473,4480,5030,NULL
131603,BAM-5263,Fixed,240,9,8339,157083,3
131604,BAM-5262,Fixed,240,0,16120,17450,NULL
131605,BAM-5261,Fixed,1080,5859,35897,37444,3
131610,BAM-5247,Fixed,480,1545,7675,10529,NULL
