ID,Issue_Key,Resolution,Timespent,In_Progress_Minutes,Total_Effort_Minutes,Resolution_Time_Minutes,Story_Point
75567,JSWSERVER-2042,Fixed,1,70,70,121,NULL
75618,JSWSERVER-1967,Fixed,420,0,0,46954,NULL
75655,JSWSERVER-1921,Fixed,300,1,1,2,NULL
75674,JSWSERVER-1886,Fixed,3600,139815,139815,141572,NULL
75686,JSWSERVER-1869,Fixed,1,79,79,31339,NULL
75718,JSWSERVER-1835,Fixed,180,0,0,63156,NULL
75761,JSWSERVER-1770,Fixed,1680,69046,69046,96234,NULL
75767,JSWSERVER-1763,Fixed,30,0,0,407875,NULL
75785,JSWSERVER-1743,Fixed,180,0,0,28383,NULL
75793,JSWSERVER-1735,Fixed,240,0,0,9597,NULL
75799,JSWSERVER-1728,Fixed,420,0,0,21183,NULL
75806,JSWSERVER-1715,Fixed,120,0,0,3,NULL
75807,JSWSERVER-1714,Fixed,1,87,87,38586,NULL
75808,JSWSERVER-1713,Fixed,120,0,0,418,NULL
75829,JSWSERVER-1686,Fixed,120,0,0,12780,NULL
75848,JSWSERVER-1653,Fixed,120,0,0,19015,NULL
75853,JSWSERVER-1645,Fixed,60,0,0,0,NULL
75857,JSWSERVER-1641,Fixed,60,0,0,4021,NULL
75858,JSWSERVER-1640,Fixed,60,0,0,6,NULL
75862,JSWSERVER-1634,Fixed,120,1341,1341,1418,NULL
75869,JSWSERVER-1627,Fixed,180,0,0,4337,NULL
75879,JSWSERVER-1610,Fixed,60,0,0,1,NULL
75880,JSWSERVER-1609,Fixed,60,0,0,21,NULL
75887,JSWSERVER-1601,Fixed,60,0,0,1826,NULL
75892,JSWSERVER-1583,Fixed,240,0,0,16,NULL
75893,JSWSERVER-1582,Fixed,120,0,0,44,NULL
75894,JSWSERVER-1581,Fixed,120,0,0,91879,NULL
75944,JSWSERVER-1522,Fixed,1380,49114,49114,175188,NULL
76010,JSWSERVER-1445,Fixed,480,2261,2261,127478,NULL
76022,JSWSERVER-1432,Fixed,180,0,0,4,NULL
76068,JSWSERVER-1383,Fixed,240,0,0,4641,NULL
76080,JSWSERVER-1371,Fixed,600,0,0,1,NULL
76089,JSWSERVER-1362,Fixed,300,0,0,42363,NULL
76095,JSWSERVER-1356,Fixed,1080,2256,2256,47527,NULL
76101,JSWSERVER-1349,Fixed,120,0,0,0,NULL
76102,JSWSERVER-1348,Fixed,300,0,0,0,NULL
76103,JSWSERVER-1347,Fixed,240,0,0,4778,NULL
76104,JSWSERVER-1346,Fixed,240,0,0,153,NULL
76110,JSWSERVER-1340,Fixed,1,8402,8402,33002,NULL
76111,JSWSERVER-1339,Fixed,1500,5829,5829,39861,NULL
76135,JSWSERVER-1315,Fixed,300,0,0,0,NULL
76145,JSWSERVER-1304,Fixed,600,0,0,10917,NULL
76146,JSWSERVER-1303,Fixed,1200,0,0,0,NULL
76147,JSWSERVER-1302,Fixed,180,288,288,21209,NULL
76152,JSWSERVER-1296,Fixed,120,0,0,0,NULL
76154,JSWSERVER-1294,Fixed,1260,2199,2199,13782,NULL
76167,JSWSERVER-1280,Fixed,840,35531,35531,49074,NULL
76173,JSWSERVER-1274,Fixed,240,0,0,17954,NULL
76188,JSWSERVER-1259,Fixed,240,7848,7848,38247,NULL
76221,JSWSERVER-1209,Fixed,1260,0,0,11023,NULL
76232,JSWSERVER-1197,Fixed,60,0,0,32,NULL
76234,JSWSERVER-1195,Fixed,120,14,14,893,NULL
76239,JSWSERVER-1188,Fixed,180,0,0,2762,NULL
76242,JSWSERVER-1185,Fixed,1920,0,0,17142,NULL
76245,JSWSERVER-1181,Fixed,180,0,0,7453,NULL
76273,JSWSERVER-1147,Fixed,60,0,0,1,NULL
76287,JSWSERVER-1121,Fixed,840,17350,17350,43831,NULL
76288,JSWSERVER-1120,Fixed,721,7523,7523,28899,NULL
76289,JSWSERVER-1119,Fixed,2340,74941,74941,86549,NULL
76294,JSWSERVER-1114,Fixed,1200,0,0,184497,NULL
76297,JSWSERVER-1111,Fixed,180,0,0,62259,NULL
76321,JSWSERVER-1078,Fixed,720,1265,1265,335380,NULL
76335,JSWSERVER-1059,Fixed,180,0,0,45254,NULL
76345,JSWSERVER-1041,Fixed,1800,19336,19336,177299,NULL
76387,JSWSERVER-983,Fixed,360,3621,3621,4832,NULL
76416,JSWSERVER-950,Fixed,780,2783,2783,2784,NULL
76417,JSWSERVER-947,Fixed,120,0,0,490,NULL
76420,JSWSERVER-944,Fixed,120,0,0,2694,NULL
76434,JSWSERVER-925,Fixed,180,0,0,4847,NULL
76440,JSWSERVER-911,Fixed,60,0,0,6407,NULL
76444,JSWSERVER-905,Fixed,120,642,642,17425,NULL
76449,JSWSERVER-894,Fixed,300,0,0,13617,NULL
76465,JSWSERVER-870,Fixed,120,0,0,621,NULL
76471,JSWSERVER-845,Fixed,720,1492,1492,4541,NULL
76472,JSWSERVER-844,Fixed,600,6163,6163,8005,NULL
76476,JSWSERVER-840,Fixed,120,0,0,0,NULL
76478,JSWSERVER-838,Fixed,1020,610,610,610,NULL
76488,JSWSERVER-826,Fixed,120,0,0,4526,NULL
76489,JSWSERVER-825,Fixed,180,0,0,79501,NULL
76496,JSWSERVER-818,Fixed,120,0,0,13619,NULL
76498,JSWSERVER-816,Fixed,181,0,0,0,NULL
76508,JSWSERVER-794,Fixed,120,1342,1342,6324,NULL
76509,JSWSERVER-793,Fixed,181,0,0,2910,NULL
76512,JSWSERVER-784,Fixed,240,7221,7221,8784,NULL
76517,JSWSERVER-768,Fixed,120,839,839,247793,NULL
76518,JSWSERVER-767,Fixed,60,0,0,78,NULL
76523,JSWSERVER-756,Fixed,120,0,0,4876,NULL
76524,JSWSERVER-755,Fixed,60,0,0,0,NULL
76527,JSWSERVER-752,Fixed,60,0,0,769,NULL
76528,JSWSERVER-751,Fixed,60,0,0,1,NULL
76538,JSWSERVER-736,Fixed,600,18583,18583,32059,NULL
76539,JSWSERVER-735,Fixed,300,0,0,15248,NULL
76542,JSWSERVER-732,Fixed,180,47,47,283497,NULL
76544,JSWSERVER-727,Fixed,900,8413,8413,18907,NULL
76548,JSWSERVER-723,Fixed,90,0,0,2918,NULL
76550,JSWSERVER-721,Fixed,240,0,0,3975,NULL
76557,JSWSERVER-709,Fixed,240,0,0,113911,NULL
76559,JSWSERVER-707,Fixed,120,0,0,112,NULL
76563,JSWSERVER-702,Fixed,120,0,0,0,NULL
76566,JSWSERVER-696,Fixed,60,0,0,284,NULL
76571,JSWSERVER-691,Fixed,60,0,0,17,NULL
76573,JSWSERVER-676,Fixed,240,35,35,116204,NULL
76574,JSWSERVER-674,Fixed,240,10780,10780,18831,NULL
76576,JSWSERVER-670,Fixed,120,0,0,262,NULL
76577,JSWSERVER-669,Fixed,60,0,0,2145,NULL
76580,JSWSERVER-666,Fixed,122,0,0,376183,NULL
76582,JSWSERVER-664,Fixed,300,0,0,138619,NULL
76585,JSWSERVER-660,Fixed,180,0,0,24,NULL
76586,JSWSERVER-659,Fixed,180,0,0,25,NULL
76587,JSWSERVER-658,Fixed,600,4932,4932,8765,NULL
76588,JSWSERVER-653,Fixed,180,0,0,2839,NULL
76589,JSWSERVER-647,Fixed,60,0,0,11777,NULL
76590,JSWSERVER-646,Fixed,240,0,0,1,NULL
76591,JSWSERVER-645,Fixed,960,1096,1096,1873,NULL
76597,JSWSERVER-633,Fixed,240,0,0,27903,NULL
76601,JSWSERVER-629,Fixed,360,975,975,11994,NULL
76603,JSWSERVER-627,Fixed,181,122,122,123,NULL
76606,JSWSERVER-624,Fixed,240,0,0,23382,NULL
76607,JSWSERVER-623,Fixed,60,0,0,9,NULL
76608,JSWSERVER-622,Fixed,120,0,0,77370,NULL
76609,JSWSERVER-621,Fixed,300,0,0,3155,NULL
76610,JSWSERVER-620,Fixed,120,0,0,411,NULL
76611,JSWSERVER-619,Fixed,240,195,195,608,NULL
76612,JSWSERVER-618,Fixed,420,0,0,2869,NULL
76613,JSWSERVER-617,Fixed,180,0,0,419,NULL
76614,JSWSERVER-616,Fixed,121,0,0,419,NULL
76615,JSWSERVER-615,Fixed,600,0,0,115384,NULL
76619,JSWSERVER-610,Fixed,60,0,0,96,NULL
76620,JSWSERVER-609,Fixed,780,6469,6469,6470,NULL
76622,JSWSERVER-607,Answered,120,0,0,1434770,NULL
76623,JSWSERVER-606,Fixed,180,0,0,8477,NULL
76625,JSWSERVER-604,Fixed,420,0,0,59319,NULL
76626,JSWSERVER-603,Fixed,120,0,0,11283,NULL
76627,JSWSERVER-602,Fixed,300,0,0,61422,NULL
76631,JSWSERVER-597,Fixed,120,0,0,37832,NULL
