ID,Issue_Key,Resolution,Timespent,In_Progress_Minutes,Total_Effort_Minutes,Resolution_Time_Minutes,Story_Point
308023,TMDM-14823,Fixed,240,762,762,13664,NULL
308024,TMDM-14822,Fixed,240,408,408,9306,NULL
308026,TMDM-14770,Fixed,120,5765,9789,9824,NULL
308028,TMDM-14756,Fixed,960,1528,7485,19890,NULL
308029,TMDM-14753,Fixed,1740,4182,11417,19934,NULL
308031,TMDM-14689,Fixed,120,9905,17803,99073,2
308032,TMDM-14667,Fixed,780,1418,2442,17224,NULL
308033,TMDM-14666,Fixed,540,1524,1525,15887,NULL
308034,TMDM-14665,Fixed,600,1847,1873,10538,NULL
308035,TMDM-14647,Fixed,660,2820,4269,10035,NULL
308036,TMDM-14646,Fixed,480,116,1100,10036,NULL
308039,TMDM-14641,Fixed,120,7328,26124,49014,3
308041,TMDM-14637,Fixed,2640,16583,19558,19913,NULL
308059,TMDM-14455,Done,60,0,1998,2001,NULL
308063,TMDM-14380,Fixed,480,506,512,33503,NULL
308064,TMDM-14379,Fixed,240,1727,1727,33356,NULL
308065,TMDM-14378,Fixed,60,87,87,33041,NULL
308066,TMDM-14377,Fixed,180,1779,1779,33340,NULL
308067,TMDM-14376,Done,120,538,558,72451,NULL
308072,TMDM-14341,Fixed,1440,59489,149579,165382,NULL
308076,TMDM-14233,Done,240,1365,1398,28526,1
308077,TMDM-14166,Fixed,300,4341,5458,15761,NULL
308078,TMDM-14165,Fixed,960,8177,8177,17251,NULL
308079,TMDM-14127,Fixed,510,6077,15976,35223,1
308082,TMDM-14085,Done,420,2469,2944,19174,NULL
308085,TMDM-13949,Done,750,4882,21854,83446,1
308086,TMDM-13911,Fixed,240,8691,23423,28806,NULL
308087,TMDM-13910,Fixed,480,0,0,2,NULL
308089,TMDM-13786,Done,240,6792,20159,247154,NULL
308093,TMDM-13707,Fixed,2400,14207,47560,700793,2
308095,TMDM-13701,Fixed,2700,9002,46039,500268,2
308096,TMDM-13699,Fixed,2400,4723,31646,431210,3
308100,TMDM-13694,Done,840,4628,28728,162121,1
308101,TMDM-13674,Fixed,480,6694,6694,75952,NULL
308102,TMDM-13673,Fixed,120,0,1056,67327,NULL
308103,TMDM-13672,Fixed,630,1790,1790,66339,NULL
308104,TMDM-13671,Fixed,240,2866,2866,67420,NULL
308106,TMDM-13665,Fixed,420,9963,9963,78379,NULL
308107,TMDM-13654,Done,600,222,2906,2913,0
308110,TMDM-13445,Fixed,1080,33099,35642,35643,NULL
308119,TMDM-13254,Done,1200,312931,318969,650378,5
308126,TMDM-12684,Done,240,0,53,123,0
308128,TMDM-12641,Fixed,480,1183,5507,27315,NULL
308129,TMDM-12640,Fixed,780,2934,15394,41470,NULL
308131,TMDM-12638,Fixed,660,28749,32674,37069,0
308132,TMDM-12634,Fixed,240,22,22,73047,NULL
308134,TMDM-12627,Fixed,720,3295,14455,18332,NULL
308135,TMDM-12622,Fixed,120,51,1814,10150,0
308136,TMDM-12533,Done,240,0,4306,14400,0
308138,TMDM-12511,Fixed,840,2837,14374,35677,1
308139,TMDM-12487,Fixed,150,241,4076,8240,NULL
308140,TMDM-12486,Fixed,240,4077,5924,10089,0
308141,TMDM-12485,Fixed,420,1876,1877,53864,0
308142,TMDM-12477,Fixed,1020,3034,5491,30091,NULL
308143,TMDM-12472,Fixed,1860,7652,12094,30186,NULL
308145,TMDM-12459,Fixed,720,8794,14125,25927,NULL
308146,TMDM-12458,Fixed,2880,12982,20173,31675,NULL
308149,TMDM-12410,Fixed,780,5737,6016,84979,0
308151,TMDM-12366,Done,1680,22752,22752,23112,1
308152,TMDM-12357,Fixed,1320,13056,13057,30309,1
308154,TMDM-12345,Done,360,3004,3118,22972,1
308156,TMDM-12343,Fixed,240,360,1452,71969,0
308157,TMDM-12342,Fixed,2700,15934,28562,64161,0
308158,TMDM-12341,Fixed,360,1355,21326,23887,NULL
308159,TMDM-12259,Done,240,0,7,11,0
308161,TMDM-12255,Done,1440,3284,5106,44949,2
308162,TMDM-12239,Fixed,480,2926,4548,20584,NULL
308163,TMDM-12238,Fixed,720,102,112,20588,NULL
308168,TMDM-12191,Done,120,3,7209,7738,0
308169,TMDM-12171,Fixed,720,2843,2843,50505,NULL
308170,TMDM-12170,Fixed,960,7763,12312,48998,NULL
308175,TMDM-12014,Fixed,960,6144,6144,23501,NULL
308176,TMDM-12012,Fixed,1440,6191,12916,26937,NULL
308177,TMDM-12011,Fixed,960,292,9027,21639,NULL
308178,TMDM-12010,Fixed,1320,7249,8366,28427,NULL
308179,TMDM-12009,Fixed,1740,6144,14879,18782,NULL
308183,TMDM-11916,Done,120,128,7492,139,0
308187,TMDM-11879,Done,240,9,22058,31739,0
308188,TMDM-11862,Done,240,14701,49421,661616,1
308197,TMDM-11822,Fixed,300,1223,31456,304901,2
308198,TMDM-11820,Done,120,0,11475,51752,1
308200,TMDM-11817,Fixed,2400,7582,33089,34175,0
308201,TMDM-11806,Fixed,480,5443,38561,38778,0
308202,TMDM-11802,Fixed,600,407,23205,62460,1
308204,TMDM-11793,Fixed,480,1437,3082,4115,0
308205,TMDM-11783,Done,240,1163,33228,42823,0
308206,TMDM-11781,Done,570,1733,10714,3975,NULL
308207,TMDM-11762,Fixed,960,1304,21618,23048,0
308211,TMDM-11723,Fixed,120,123,8670,20427,0
308213,TMDM-11708,Fixed,600,6,54459,110815,NULL
308214,TMDM-11707,Fixed,720,1450,11767,66149,NULL
308215,TMDM-11703,Fixed,240,5512,7194,28757,0
308217,TMDM-11694,Done,1440,11101,11101,32861,3
308218,TMDM-11687,Fixed,1440,3217,164381,164431,NULL
308222,TMDM-11675,Fixed,240,456,5763,5773,NULL
308225,TMDM-11668,Done,150,128,1429,2977,NULL
308227,TMDM-11657,Done,1920,7620,10288,14213,NULL
308229,TMDM-11655,Fixed,60,113,24516,38722,0
308230,TMDM-11632,Fixed,960,2996,47396,99390,1
308232,TMDM-11624,Fixed,420,1864,14488,392467,1
308234,TMDM-11621,Fixed,480,4298,29035,40578,0
308235,TMDM-11615,Fixed,480,437,7595,11913,0
308236,TMDM-11612,Fixed,180,62,1287,45769,0
308237,TMDM-11602,Fixed,480,442,7583,20238,0
308239,TMDM-11597,Fixed,2160,1031320,1060844,1120249,1
308240,TMDM-11593,Fixed,1560,6310,27260,34594,NULL
308241,TMDM-11592,Fixed,120,28,42,27797,0
308242,TMDM-11555,Fixed,720,1249,8755,38963,0
308244,TMDM-11533,Done,120,67,1160,1437,0
308245,TMDM-11532,Done,120,0,23031,23290,1
308246,TMDM-11531,Fixed,1920,294,9796,23060,0
308247,TMDM-11530,Fixed,30,1110,6823,20176,0
308248,TMDM-11508,Fixed,120,55,81,30194,0
308249,TMDM-11506,Fixed,480,2766,21446,31305,0
308251,TMDM-11499,Fixed,960,2692,21369,38683,0
308253,TMDM-11494,Fixed,960,7148,42034,31738,1
