ID,Issue_Key,Type,Status,Resolution,Creation_Date,Resolution_Date,Story_Point,Timespent,In_Progress_Minutes,Total_Effort_Minutes,Resolution_Time_Minutes
384741,APIKIT-77,"Enhancement Request",Closed,Fixed,"2013-05-03 18:25:11","2014-08-14 23:32:03",8,NULL,0,0,674226
384774,APIKIT-31,Bug,Closed,Fixed,"2013-07-09 00:25:17","2013-07-15 20:30:29",1,NULL,0,0,9845
384770,APIKIT-38,Bug,Closed,Fixed,"2013-07-10 02:35:20","2013-08-16 19:52:51",8,NULL,0,0,54317
384769,APIKIT-39,Bug,Closed,Fixed,"2013-07-10 03:10:02","2013-07-19 18:34:24",2,NULL,0,0,13884
384767,APIKIT-41,Bug,Closed,Fixed,"2013-07-10 19:44:35","2013-07-15 20:27:39",1,NULL,54,54,7243
384766,APIKIT-42,Bug,Closed,Fixed,"2013-07-10 19:45:41","2013-07-15 23:33:28",1,NULL,8,8,7427
384764,APIKIT-44,Bug,Closed,Fixed,"2013-07-10 20:13:11","2013-07-15 20:30:54",5,NULL,57,57,7217
384763,APIKIT-49,Bug,Closed,Fixed,"2013-07-15 22:55:47","2013-07-16 00:22:50",1,NULL,2,2,87
384760,APIKIT-52,"Enhancement Request",Closed,Fixed,"2013-07-16 22:18:02","2013-07-17 02:56:15",1,NULL,18,18,278
384759,APIKIT-53,Bug,Closed,Fixed,"2013-07-17 02:33:34","2013-07-17 03:11:10",2,NULL,8,8,37
384758,APIKIT-54,Bug,Closed,Fixed,"2013-07-17 02:58:21","2013-07-22 18:59:01",1,NULL,4349,4349,8160
384756,APIKIT-56,Bug,Closed,Fixed,"2013-07-17 19:22:08","2013-07-17 19:58:43",1,NULL,35,35,36
384755,APIKIT-57,Bug,Closed,Fixed,"2013-07-17 19:49:57","2013-07-17 19:58:32",1,NULL,7,7,8
384748,APIKIT-65,"Enhancement Request",Closed,Fixed,"2013-07-19 21:01:58","2013-07-19 21:05:43",1,NULL,2,2,3
384747,APIKIT-66,Bug,Closed,Fixed,"2013-07-22 15:14:34","2013-07-22 15:19:23",1,NULL,4,4,4
384745,APIKIT-68,Bug,Closed,Fixed,"2013-07-22 19:15:49","2013-07-29 19:37:21",1,NULL,10101,10101,10101
384742,APIKIT-76,Bug,Closed,Fixed,"2013-07-29 19:39:19","2013-07-29 19:51:01",1,NULL,0,0,11
384739,APIKIT-84,"Enhancement Request",Closed,Fixed,"2013-07-31 18:01:08","2013-08-20 21:25:19",5,NULL,24,24,29004
384738,APIKIT-85,Bug,Closed,Fixed,"2013-07-31 18:10:19","2013-08-30 16:00:51",3,NULL,2,2,43070
384737,APIKIT-86,Bug,Closed,Fixed,"2013-07-31 18:13:39","2013-09-05 15:29:48",3,NULL,8349,8349,51676
384735,APIKIT-91,Bug,Closed,Fixed,"2013-08-16 19:48:00","2013-09-10 20:36:07",1,NULL,306,306,36048
