ID,Issue_Key,Type,Status,Resolution,Creation_Date,Resolution_Date,Story_Point,Timespent,In_Progress_Minutes,Total_Effort_Minutes,Resolution_Time_Minutes
37993,DAEMON-5,"New Feature",Resolved,Fixed,"2016-02-03 23:42:56","2016-03-19 22:23:31",13,NULL,14735,14735,64720
37997,DAEMON-1,"New Feature",Resolved,Fixed,"2016-02-03 23:55:46","2016-02-25 23:57:38",13,NULL,31170,31170,31681
37994,DAEMON-4,"New Feature",Resolved,Fixed,"2016-02-04 00:04:55","2016-03-25 23:27:46",13,NULL,43340,43340,73402
37996,DAEMON-2,"New Feature",Resolved,Fixed,"2016-02-04 00:38:42","2017-02-14 04:36:11",13,NULL,66299,66299,541677
37980,DAEMON-18,Story,Resolved,Fixed,"2016-02-04 00:45:27","2020-05-07 14:56:15",13,NULL,64670,64670,2238550
37986,DAEMON-12,"New Feature",Resolved,Fixed,"2016-02-04 03:10:12","2017-11-13 13:07:05",34,NULL,476190,476190,933716
37990,DAEMON-8,"New Feature",Resolved,Fixed,"2016-02-04 03:29:26","2017-11-07 11:15:43",21,NULL,440739,440739,924946
37972,DAEMON-28,"New Feature",Resolved,Fixed,"2016-02-04 03:36:23","2020-05-07 15:02:08",13,NULL,0,0,2238385
37991,DAEMON-7,Improvement,Resolved,Fixed,"2016-02-04 07:41:54","2017-11-08 01:23:26",21,NULL,53757,53757,925541
37988,DAEMON-10,"New Feature",Resolved,Fixed,"2016-02-04 07:42:44","2017-09-01 12:44:01",5,NULL,417800,417800,828241
37989,DAEMON-9,"New Feature",Resolved,Fixed,"2016-02-04 07:44:08","2019-06-05 04:00:19",34,NULL,56655,56655,1752196
37987,DAEMON-11,"New Feature",Resolved,Fixed,"2016-02-04 08:31:14","2016-03-03 07:26:49",8,NULL,9088,9088,40255
37985,DAEMON-13,Improvement,Resolved,Fixed,"2016-05-05 08:29:39","2017-03-24 21:31:35",3,NULL,105,105,465961
37983,DAEMON-15,Improvement,Resolved,Fixed,"2016-05-05 08:41:05","2017-02-14 04:13:44",21,NULL,0,0,410192
37995,DAEMON-3,Improvement,Closed,Done,"2016-05-05 08:59:36","2016-08-04 03:49:46",8,NULL,0,0,130730
37992,DAEMON-6,"New Feature",Resolved,Fixed,"2016-05-07 07:27:59","2016-05-12 16:29:18",13,NULL,7740,7740,7741
37971,DAEMON-29,"New Feature",Resolved,Fixed,"2016-10-21 23:38:00","2017-03-13 19:17:32",5,NULL,0,0,205719
37970,DAEMON-30,Bug,Resolved,Fixed,"2016-10-21 23:47:16","2016-10-27 00:21:39",5,NULL,15,15,7234
37969,DAEMON-31,Improvement,Resolved,Fixed,"2016-10-25 22:48:41","2017-02-28 00:15:45",5,NULL,0,0,180147
37965,DAEMON-35,Improvement,Resolved,Fixed,"2016-10-31 17:23:53","2017-02-16 06:48:52",5,NULL,376,376,154884
37964,DAEMON-36,Bug,Resolved,Fixed,"2016-12-05 20:03:04","2017-06-19 16:46:29",13,NULL,0,0,281983
37963,DAEMON-37,"New Feature",Resolved,Fixed,"2017-02-13 21:24:31","2017-08-08 19:53:23",55,NULL,190051,190051,253288
37962,DAEMON-38,"New Feature",Resolved,Fixed,"2017-02-14 03:30:46","2017-08-12 04:24:55",21,NULL,4831,4831,257754
37961,DAEMON-39,"New Feature",Resolved,Fixed,"2017-02-14 04:04:30","2017-02-23 16:33:14",13,NULL,11898,11898,13708
37960,DAEMON-40,Bug,Resolved,Fixed,"2017-02-17 02:02:57","2017-02-17 06:06:03",5,NULL,242,242,243
37959,DAEMON-41,Improvement,Resolved,Fixed,"2017-02-17 05:07:43","2017-02-17 06:06:18",8,NULL,0,0,58
37958,DAEMON-42,"New Feature",Resolved,Fixed,"2017-02-17 05:09:22","2017-02-17 06:05:43",2,NULL,0,0,56
