ID,Issue_Key,Type,Status,Resolution,Creation_Date,Resolution_Date,Story_Point,Timespent,In_Progress_Minutes,Total_Effort_Minutes,Resolution_Time_Minutes
207226,INDY-209,Story,Complete,Done,"2017-06-13 17:52:03","2019-03-29 20:34:48",3,NULL,967,9295,941982
207149,INDY-286,Task,Complete,Done,"2017-06-19 23:29:48","2019-03-29 20:32:58",3,NULL,0,0,933003
207095,INDY-340,Task,Complete,Done,"2017-06-27 21:23:16","2019-10-22 16:15:03",1,NULL,0,0,1219371
206998,INDY-437,Task,Complete,Done,"2017-07-18 21:11:06","2019-10-11 11:14:26",5,NULL,0,0,1173003
206971,INDY-465,Story,Complete,Done,"2017-07-27 21:13:33","2019-03-29 20:32:48",3,NULL,24216,40894,878419
206957,INDY-480,Task,Complete,Done,"2017-08-01 13:20:58","2019-03-29 20:33:11",5,NULL,17726,20478,871692
206943,INDY-494,Task,Complete,Done,"2017-08-01 13:25:39","2019-10-10 14:53:43",8,NULL,0,0,1152088
206942,INDY-495,Task,Complete,Done,"2017-08-01 13:26:00","2019-10-10 15:58:54",8,NULL,0,0,1152152
206932,INDY-505,Task,Complete,Done,"2017-08-01 13:33:17","2019-03-29 20:33:37",3,NULL,2830,2930,871680
206926,INDY-511,Story,Complete,Done,"2017-08-01 16:25:02","2019-03-29 20:34:47",2,NULL,34730,41857,871509
206918,INDY-519,Story,Complete,Done,"2017-08-02 10:27:08","2019-03-29 20:33:47",3,NULL,0,0,870426
206907,INDY-530,Task,Complete,Done,"2017-08-02 10:27:09","2019-03-29 20:34:26",1,NULL,0,2228,870427
206867,INDY-570,Task,Complete,Done,"2017-08-02 10:27:14","2019-03-29 20:33:33",5,NULL,27742,30102,870426
206856,INDY-582,Story,Complete,Done,"2017-08-02 10:27:15","2019-03-29 20:33:54",1,NULL,0,3078,870426
206809,INDY-629,Story,Complete,Done,"2017-08-02 10:27:20","2019-03-29 20:33:00",5,NULL,8533,8533,870425
206810,INDY-628,Story,Complete,Done,"2017-08-02 10:27:20","2019-03-29 20:34:43",8,NULL,7222,7454,870427
206770,INDY-670,Story,Complete,Done,"2017-08-02 10:27:24","2019-03-29 20:32:16",13,NULL,46231,60937,870424
